3.87,0.6149,2.55,19.5
3.88,0.6106,2.49,19.5
3.89,0.5891,1.71,19.5
3.9,0.5505,1.21,19.5
3.91,0.529,1.11,19.5
3.92,0.5118,1,19.5
3.93,0.4774,1,19.5
3.94,0.4345,1,19.5
3.95,0.3829,1,19.5
3.96,0.34,1,19.5
3.97,0.3293,1,19.5
3.98,0.3185,1,19.5
3.99,0.3228,1,19.5
4,0.3142,1,19.5
4.01,0.312,1,19.5
4.02,0.3113,1,19.5
4.03,0.3128,1,19.5
4.04,0.3142,1,19.5
4.05,0.3228,1,19.5
4.06,0.3228,1,19.5
4.07,0.3271,1,19.5
4.08,0.3314,1,19.5
4.09,0.3335,1,19.5
4.1,0.3357,1,19.5
4.11,0.3357,1,19.5
4.12,0.3378,1,19.5
4.13,0.34,1,19.5
4.14,0.3701,1,19.5
4.15,0.3872,1,19.5
4.16,0.3615,1,19.5
4.17,0.3609,1,19.5
4.18,0.3604,1,19.5
4.19,0.3701,1,19.5
4.2,0.3529,1,19.5
4.21,0.3529,1,19.5
4.22,0.353,1,19.5
4.23,0.3534,1,19.5
4.24,0.3572,1,19.5
4.25,0.3915,1,19.5
4.26,0.4087,1,19.5
4.27,0.4195,1,19.5
4.28,0.4302,1,19.5
4.29,0.5419,1,19.5
4.3,0.7051,1,19.5
4.31,0.9328,1,19.5
4.32,1.2034,1,19.5
4.33,1.4783,1,19.5
4.34,1.7103,1,19.5
4.35,1.8735,1,19.5
4.36,1.9852,1,19.5
4.37,2.1484,1,19.5
4.38,2.2128,1,19.5
4.39,2.2687,1,19.5
4.4,2.3202,1,19.5
4.41,2.3761,1.11,19.5
4.42,2.4319,1.26,19.5
4.43,2.4835,1.37,19.5
4.44,2.5522,1.47,19.5
4.45,2.6252,1.57,19.5
4.46,2.7111,1.76,19.5
4.47,2.9001,1.92,19.5
4.48,3.0161,2.15,19.5
4.49,3.1622,2.32,19.5
4.5,3.334,2.54,19.5
4.51,3.5273,2.74,19.5
4.52,3.7506,3,19.5
4.53,3.974,3.23,19.5
4.54,4.206,3.55,19.5
4.55,4.425,4.02,19.5
4.56,4.6785,5.05,19.5
4.57,4.6398,5.64,19.5
4.58,4.5668,6.07,19.5
4.59,4.4852,6.55,19.5
4.6,4.3735,6.74,19.5
4.61,4.2017,6.96,19.5
4.62,3.9912,7.32,19.5
4.63,3.6862,7.7,19.5
4.64,3.0118,7.71,19.5
4.65,2.7541,7.7,19.5
4.66,2.7267,7.69,19.5
4.67,2.6993,7.62,19.5
4.68,2.7025,7.11,19.5
4.69,2.6553,6.57,19.5
4.7,2.5608,6.21,19.5
4.71,2.3804,5.87,19.5
4.72,2.1871,5.51,19.5
4.73,1.6673,4.87,19.5
4.74,1.6673,4.49,19.5
4.75,1.4311,4.15,19.5
4.76,1.3409,3.83,19.5
4.77,1.285,3.61,19.5
4.78,1.281,3.41,19.5
4.79,1.2805,3.13,19.5
4.8,1.2806,2.75,19.5
4.81,1.2807,2.55,19.5
4.82,1.285,2.39,19.5
4.83,1.285,2.26,19.5
4.84,1.3022,2.18,19.5
4.85,1.3108,2.18,19.5
4.86,1.3043,2.18,19.5
4.87,1.3065,2.19,19.5
4.88,1.3086,2.24,19.5
4.89,1.3194,2.36,19.5
4.9,1.3409,2.39,19.5
4.91,1.3666,2.39,19.5
4.92,1.3838,2.4,19.5
4.93,1.3881,2.44,19.5
4.94,1.4053,2.45,19.5
4.95,1.4311,2.46,19.5
4.96,1.4439,2.45,19.5
4.97,1.4396,2.45,19.5
4.98,1.3967,2.45,19.5
4.99,1.3623,2.44,19.5
5,1.3323,2.43,19.5
5.01,1.2979,2.47,19.5
5.02,1.2893,2.5,19.5
5.03,1.2807,2.56,19.5
5.04,1.2721,2.57,19.5
